Word,setup_loop.thisRepN,setup_loop.thisTrialN,setup_loop.thisN,setup_loop.thisIndex,shuffle_loop.thisRepN,shuffle_loop.thisTrialN,shuffle_loop.thisN,shuffle_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialsBreak.thisRepN,trialsBreak.thisTrialN,trialsBreak.thisN,trialsBreak.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trialsBreak2.thisRepN,trialsBreak2.thisTrialN,trialsBreak2.thisN,trialsBreak2.thisIndex,thisRow.t,notes,LSL_Stream.started,LSL_Stream.stopped,setup.started,setup.stopped,shuffle_stimuli.started,shuffle_stimuli.stopped,Instructions1.started,imageInstruct1.started,key_resp_Instruct1.started,Instructions1.stopped,key_resp_Instruct1.keys,key_resp_Instruct1.rt,key_resp_Instruct1.duration,fixation.started,cross.started,cross.stopped,fixation.stopped,stimuli_prez_1.started,imagePrez1.started,audioPrez1.started,imagePrez1.stopped,stimuli_prez_1.stopped,response.started,image_resp_p1.started,p1_resp_stim.started,image_resp_p1.stopped,p1_resp_stim.stopped,textTimeOut.started,textTimeOut.stopped,response.stopped,Image,Audio,response_p1,corchoice_p1,Trial_Score_p1,Trial_RT_p1,p1_resp_stim.keys,p1_resp_stim.corr,p1_resp_stim.rt,p1_resp_stim.duration,checkpoint.started,imageBreak.started,imageCont.started,key_break.started,imageBreak.stopped,checkpoint.stopped,key_break.keys,key_break.rt,key_break.duration,Instructions2.started,imageInstruct1_2.started,key_resp_Instruct1_2.started,Instructions2.stopped,key_resp_Instruct1_2.keys,key_resp_Instruct1_2.rt,key_resp_Instruct1_2.duration,fixation_2.started,cross_2.started,cross_2.stopped,fixation_2.stopped,stimuli_prez_2.started,audioPrez2.started,imagePrez2.started,imagePrez2.stopped,stimuli_prez_2.stopped,response_2.started,image_resp_p2.started,p2_resp_stim.started,response_2.stopped,Image2,Audio2,response_p2,corchoice_p2,Trial_Score_p2,Trial_RT_p2,p2_resp_stim.keys,p2_resp_stim.corr,p2_resp_stim.rt,p2_resp_stim.duration,end.started,endscreen.started,key_resp_end.started,end.stopped,key_resp_end.keys,key_resp_end.rt,key_resp_end.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
sheep,0,10,10,139,,,,,,,,,,,,,,,,,,,,,0.2061295999997128,,,,0.1361194000000978,0.1366293000000951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-006,001,2025-01-24_14h38.00.100,NESC3137_N400_exp,2023.2.3,126.2779326790458,2025-01-24 14h38.27.266390 -0400,
pot,0,11,11,123,,,,,,,,,,,,,,,,,,,,,0.2061295999997128,,,,0.13683159999982308,0.13704139999981635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-006,001,2025-01-24_14h38.00.100,NESC3137_N400_exp,2023.2.3,126.2779326790458,2025-01-24 14h38.27.266390 -0400,
jacket,0,12,12,79,,,,,,,,,,,,,,,,,,,,,0.2061295999997128,,,,0.13719270000001416,0.1374070000001666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-006,001,2025-01-24_14h38.00.100,NESC3137_N400_exp,2023.2.3,126.2779326790458,2025-01-24 14h38.27.266390 -0400,
pants,0,13,13,109,,,,,,,,,,,,,,,,,,,,,0.2061295999997128,,,,0.13758950000010373,0.13783639999974184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-006,001,2025-01-24_14h38.00.100,NESC3137_N400_exp,2023.2.3,126.2779326790458,2025-01-24 14h38.27.266390 -0400,
strawberry,0,14,14,150,,,,,,,,,,,,,,,,,,,,,0.2061295999997128,,,,0.1380791000001409,0.1382899999998699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-006,001,2025-01-24_14h38.00.100,NESC3137_N400_exp,2023.2.3,126.2779326790458,2025-01-24 14h38.27.266390 -0400,
owl,0,15,15,107,,,,,,,,,,,,,,,,,,,,,0.2061295999997128,,,,0.13849299999992581,0.13868169999977908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-006,001,2025-01-24_14h38.00.100,NESC3137_N400_exp,2023.2.3,126.2779326790458,2025-01-24 14h38.27.266390 -0400,
candle,0,16,16,25,,,,,,,,,,,,,,,,,,,,,0.2061295999997128,,,,0.1388241999998172,0.13898650000010093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-006,001,2025-01-24_14h38.00.100,NESC3137_N400_exp,2023.2.3,126.2779326790458,2025-01-24 14h38.27.266390 -0400,
seal,0,17,17,138,,,,,,,,,,,,,,,,,,,,,0.2061295999997128,,,,0.13913000000002285,0.13931069999989631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-006,001,2025-01-24_14h38.00.100,NESC3137_N400_exp,2023.2.3,126.2779326790458,2025-01-24 14h38.27.266390 -0400,
skirt,0,18,18,141,,,,,,,,,,,,,,,,,,,,,0.2061295999997128,,,,0.13943479999988995,0.13957070000014937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-006,001,2025-01-24_14h38.00.100,NESC3137_N400_exp,2023.2.3,126.2779326790458,2025-01-24 14h38.27.266390 -0400,
tree,0,19,19,163,,,,,,,,,,,,,,,,,,,,,0.2061295999997128,,,,0.13968979999981457,0.13982050000004165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-006,001,2025-01-24_14h38.00.100,NESC3137_N400_exp,2023.2.3,126.2779326790458,2025-01-24 14h38.27.266390 -0400,
