Word,setup_loop.thisRepN,setup_loop.thisTrialN,setup_loop.thisN,setup_loop.thisIndex,shuffle_loop.thisRepN,shuffle_loop.thisTrialN,shuffle_loop.thisN,shuffle_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialsBreak.thisRepN,trialsBreak.thisTrialN,trialsBreak.thisN,trialsBreak.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trialsBreak2.thisRepN,trialsBreak2.thisTrialN,trialsBreak2.thisN,trialsBreak2.thisIndex,thisRow.t,notes,LSL_Stream.started,LSL_Stream.stopped,setup.started,setup.stopped,shuffle_stimuli.started,shuffle_stimuli.stopped,Instructions1.started,imageInstruct1.started,key_resp_Instruct1.started,Instructions1.stopped,key_resp_Instruct1.keys,key_resp_Instruct1.rt,key_resp_Instruct1.duration,fixation.started,cross.started,fixation.stopped,stimuli_prez_1.started,imagePrez1.started,audioPrez1.started,imagePrez1.stopped,stimuli_prez_1.stopped,response.started,image_resp_p1.started,p1_resp_stim.started,response.stopped,Image,Audio,response_p1,corchoice_p1,Trial_Score_p1,Trial_RT_p1,p1_resp_stim.keys,p1_resp_stim.corr,p1_resp_stim.rt,p1_resp_stim.duration,cross.stopped,checkpoint.started,imageBreak.started,imageCont.started,key_break.started,imageBreak.stopped,checkpoint.stopped,key_break.keys,key_break.rt,key_break.duration,Instructions2.started,imageInstruct1_2.started,key_resp_Instruct1_2.started,Instructions2.stopped,key_resp_Instruct1_2.keys,key_resp_Instruct1_2.rt,key_resp_Instruct1_2.duration,fixation_2.started,cross_2.started,fixation_2.stopped,stimuli_prez_2.started,audioPrez2.started,imagePrez2.started,imagePrez2.stopped,stimuli_prez_2.stopped,response_2.started,image_resp_p2.started,p2_resp_stim.started,response_2.stopped,Image2,Audio2,response_p2,corchoice_p2,Trial_Score_p2,Trial_RT_p2,p2_resp_stim.keys,p2_resp_stim.corr,p2_resp_stim.rt,p2_resp_stim.duration,cross_2.stopped,end.started,endscreen.started,key_resp_end.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
orange,0,10,10,105,,,,,,,,,,,,,,,,,,,,,0.22555290000002515,,,,0.1580081999999834,0.15814530000000104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-01-24_14h12.08.293,NESC3137_N400_exp,2023.2.3,146.1659217077025,2025-01-24 14h12.20.156201 -0400,
lock,0,11,11,96,,,,,,,,,,,,,,,,,,,,,0.22555290000002515,,,,0.15833489999999983,0.15850089999997863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-01-24_14h12.08.293,NESC3137_N400_exp,2023.2.3,146.1659217077025,2025-01-24 14h12.20.156201 -0400,
bow,0,12,12,19,,,,,,,,,,,,,,,,,,,,,0.22555290000002515,,,,0.15867630000002464,0.1588297000000125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-01-24_14h12.08.293,NESC3137_N400_exp,2023.2.3,146.1659217077025,2025-01-24 14h12.20.156201 -0400,
frog,0,13,13,58,,,,,,,,,,,,,,,,,,,,,0.22555290000002515,,,,0.15900520000002416,0.15915610000001834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-01-24_14h12.08.293,NESC3137_N400_exp,2023.2.3,146.1659217077025,2025-01-24 14h12.20.156201 -0400,
moon,0,14,14,99,,,,,,,,,,,,,,,,,,,,,0.22555290000002515,,,,0.15928420000000187,0.15946120000000974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-01-24_14h12.08.293,NESC3137_N400_exp,2023.2.3,146.1659217077025,2025-01-24 14h12.20.156201 -0400,
anchor,0,15,15,3,,,,,,,,,,,,,,,,,,,,,0.22555290000002515,,,,0.15957329999997683,0.1597194000000286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-01-24_14h12.08.293,NESC3137_N400_exp,2023.2.3,146.1659217077025,2025-01-24 14h12.20.156201 -0400,
hand,0,16,16,71,,,,,,,,,,,,,,,,,,,,,0.22555290000002515,,,,0.15982880000001387,0.15996009999997796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-01-24_14h12.08.293,NESC3137_N400_exp,2023.2.3,146.1659217077025,2025-01-24 14h12.20.156201 -0400,
necklace,0,17,17,103,,,,,,,,,,,,,,,,,,,,,0.22555290000002515,,,,0.16006759999999076,0.16019529999999804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-01-24_14h12.08.293,NESC3137_N400_exp,2023.2.3,146.1659217077025,2025-01-24 14h12.20.156201 -0400,
pig,0,18,18,118,,,,,,,,,,,,,,,,,,,,,0.22555290000002515,,,,0.16030460000001767,0.16043380000002117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-01-24_14h12.08.293,NESC3137_N400_exp,2023.2.3,146.1659217077025,2025-01-24 14h12.20.156201 -0400,
chain,0,19,19,29,,,,,,,,,,,,,,,,,,,,,0.22555290000002515,,,,0.16054129999997713,0.16070450000000847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-01-24_14h12.08.293,NESC3137_N400_exp,2023.2.3,146.1659217077025,2025-01-24 14h12.20.156201 -0400,
owl,0,20,20,107,,,,,,,,,,,,,,,,,,,,,0.22555290000002515,,,,0.16083270000001448,0.1609786000000213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-01-24_14h12.08.293,NESC3137_N400_exp,2023.2.3,146.1659217077025,2025-01-24 14h12.20.156201 -0400,
vest,0,21,21,168,,,,,,,,,,,,,,,,,,,,,0.22555290000002515,,,,0.1610860000000116,0.1612135999999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-01-24_14h12.08.293,NESC3137_N400_exp,2023.2.3,146.1659217077025,2025-01-24 14h12.20.156201 -0400,
spider,0,22,22,146,,,,,,,,,,,,,,,,,,,,,0.22555290000002515,,,,0.1613232999999923,0.1614534000000276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-01-24_14h12.08.293,NESC3137_N400_exp,2023.2.3,146.1659217077025,2025-01-24 14h12.20.156201 -0400,
vase,0,23,23,167,,,,,,,,,,,,,,,,,,,,,0.22555290000002515,,,,0.1615626999999904,0.16168870000001334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-01-24_14h12.08.293,NESC3137_N400_exp,2023.2.3,146.1659217077025,2025-01-24 14h12.20.156201 -0400,
scissors,0,24,24,135,,,,,,,,,,,,,,,,,,,,,0.22555290000002515,,,,0.16179520000002867,0.16197990000000573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-01-24_14h12.08.293,NESC3137_N400_exp,2023.2.3,146.1659217077025,2025-01-24 14h12.20.156201 -0400,
hat,0,25,25,74,,,,,,,,,,,,,,,,,,,,,0.22555290000002515,,,,0.1621499999999969,0.1623422999999775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-01-24_14h12.08.293,NESC3137_N400_exp,2023.2.3,146.1659217077025,2025-01-24 14h12.20.156201 -0400,
seal,0,26,26,138,,,,,,,,,,,,,,,,,,,,,0.22555290000002515,,,,0.16250560000003134,0.1626749999999788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-01-24_14h12.08.293,NESC3137_N400_exp,2023.2.3,146.1659217077025,2025-01-24 14h12.20.156201 -0400,
shoe,0,27,27,140,,,,,,,,,,,,,,,,,,,,,0.22555290000002515,,,,0.16285549999997784,0.16306830000002037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-01-24_14h12.08.293,NESC3137_N400_exp,2023.2.3,146.1659217077025,2025-01-24 14h12.20.156201 -0400,
snake,0,28,28,154,,,,,,,,,,,,,,,,,,,,,0.22555290000002515,,,,0.16321629999998777,0.16338840000003074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-01-24_14h12.08.293,NESC3137_N400_exp,2023.2.3,146.1659217077025,2025-01-24 14h12.20.156201 -0400,
fish,0,29,29,54,,,,,,,,,,,,,,,,,,,,,0.22555290000002515,,,,0.16350510000000895,0.1636814999999956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-01-24_14h12.08.293,NESC3137_N400_exp,2023.2.3,146.1659217077025,2025-01-24 14h12.20.156201 -0400,
