Word,setup_loop.thisRepN,setup_loop.thisTrialN,setup_loop.thisN,setup_loop.thisIndex,shuffle_loop.thisRepN,shuffle_loop.thisTrialN,shuffle_loop.thisN,shuffle_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialsBreak.thisRepN,trialsBreak.thisTrialN,trialsBreak.thisN,trialsBreak.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trialsBreak2.thisRepN,trialsBreak2.thisTrialN,trialsBreak2.thisN,trialsBreak2.thisIndex,thisRow.t,notes,LSL_Stream.started,LSL_Stream.stopped,setup.started,setup.stopped,shuffle_stimuli.started,shuffle_stimuli.stopped,Instructions1.started,imageInstruct1.started,key_resp_Instruct1.started,Instructions1.stopped,key_resp_Instruct1.keys,key_resp_Instruct1.rt,key_resp_Instruct1.duration,fixation.started,cross.started,cross.stopped,fixation.stopped,stimuli_prez_1.started,imagePrez1.started,audioPrez1.started,imagePrez1.stopped,stimuli_prez_1.stopped,response.started,image_resp_p1.started,p1_resp_stim.started,image_resp_p1.stopped,p1_resp_stim.stopped,textTimeOut.started,textTimeOut.stopped,response.stopped,Image,Audio,response_p1,corchoice_p1,Trial_Score_p1,Trial_RT_p1,p1_resp_stim.keys,p1_resp_stim.corr,p1_resp_stim.rt,p1_resp_stim.duration,checkpoint.started,imageBreak.started,imageCont.started,key_break.started,imageBreak.stopped,checkpoint.stopped,key_break.keys,key_break.rt,key_break.duration,Instructions2.started,imageInstruct1_2.started,key_resp_Instruct1_2.started,Instructions2.stopped,key_resp_Instruct1_2.keys,key_resp_Instruct1_2.rt,key_resp_Instruct1_2.duration,fixation_2.started,cross_2.started,fixation_2.stopped,stimuli_prez_2.started,audioPrez2.started,imagePrez2.started,imagePrez2.stopped,stimuli_prez_2.stopped,response_2.started,image_resp_p2.started,p2_resp_stim.started,response_2.stopped,Image2,Audio2,response_p2,corchoice_p2,Trial_Score_p2,Trial_RT_p2,p2_resp_stim.keys,p2_resp_stim.corr,p2_resp_stim.rt,p2_resp_stim.duration,cross_2.stopped,end.started,endscreen.started,key_resp_end.started,end.stopped,key_resp_end.keys,key_resp_end.rt,key_resp_end.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
screwdriver,0,10,10,136,,,,,,,,,,,,,,,,,,,,,0.15366670000366867,,,,0.09738410002319142,0.09757540002465248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-01-24_13h21.07.220,NESC3137_N400_exp,2023.2.3,59.93953299573946,2025-01-24 13h22.10.655570 -0400,
button,0,11,11,22,,,,,,,,,,,,,,,,,,,,,0.15366670000366867,,,,0.0977586000226438,0.09794720000354573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-01-24_13h21.07.220,NESC3137_N400_exp,2023.2.3,59.93953299573946,2025-01-24 13h22.10.655570 -0400,
cherry,0,12,12,31,,,,,,,,,,,,,,,,,,,,,0.15366670000366867,,,,0.09808380002505146,0.09824660001322627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-01-24_13h21.07.220,NESC3137_N400_exp,2023.2.3,59.93953299573946,2025-01-24 13h22.10.655570 -0400,
lock,0,13,13,96,,,,,,,,,,,,,,,,,,,,,0.15366670000366867,,,,0.0983940000005532,0.0991467000276316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-01-24_13h21.07.220,NESC3137_N400_exp,2023.2.3,59.93953299573946,2025-01-24 13h22.10.655570 -0400,
gorilla,0,14,14,65,,,,,,,,,,,,,,,,,,,,,0.15366670000366867,,,,0.09928880000370555,0.09943370000110008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-01-24_13h21.07.220,NESC3137_N400_exp,2023.2.3,59.93953299573946,2025-01-24 13h22.10.655570 -0400,
whistle,0,15,15,174,,,,,,,,,,,,,,,,,,,,,0.15366670000366867,,,,0.09954450000077486,0.09966650002752431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-01-24_13h21.07.220,NESC3137_N400_exp,2023.2.3,59.93953299573946,2025-01-24 13h22.10.655570 -0400,
star,0,16,16,148,,,,,,,,,,,,,,,,,,,,,0.15366670000366867,,,,0.09976620000088587,0.09987980002188124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-01-24_13h21.07.220,NESC3137_N400_exp,2023.2.3,59.93953299573946,2025-01-24 13h22.10.655570 -0400,
well,0,17,17,172,,,,,,,,,,,,,,,,,,,,,0.15366670000366867,,,,0.1000077000062447,0.10015670000575483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-01-24_13h21.07.220,NESC3137_N400_exp,2023.2.3,59.93953299573946,2025-01-24 13h22.10.655570 -0400,
chain,0,18,18,29,,,,,,,,,,,,,,,,,,,,,0.15366670000366867,,,,0.10026160001871176,0.10037860000738874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-01-24_13h21.07.220,NESC3137_N400_exp,2023.2.3,59.93953299573946,2025-01-24 13h22.10.655570 -0400,
guitar,0,19,19,67,,,,,,,,,,,,,,,,,,,,,0.15366670000366867,,,,0.10049070001696236,0.10060250002425164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-01-24_13h21.07.220,NESC3137_N400_exp,2023.2.3,59.93953299573946,2025-01-24 13h22.10.655570 -0400,
